date,day_type,da_basis,cost_aware,bm_basis,da_net,id_net,bm_net,total_revenue,total_cost,net_pnl
2026-07-12,🟢 green,real,False,foresight,69722.31,21759.3,39115.59,129167.59,-1429.6,130597.2
2026-07-13,🟡 amber,real,False,foresight,41063.23,7258.82,17834.31,147598.85,81442.49,66156.37
2026-07-14,🟡 amber,real,False,foresight,50203.69,11039.22,33994.13,176636.54,81399.49,95237.05
2026-07-15,🟡 amber,real,False,foresight,40198.75,6160.03,11995.25,155914.88,97560.85,58354.03
2026-07-16,🟡 amber,real,False,foresight,47910.95,9384.21,17801.6,176809.08,101712.32,75096.76
2026-07-17,🟡 amber,real,False,foresight,34765.36,3122.01,13998.76,133997.25,82111.12,51886.13
2026-07-18,🟡 amber,real,False,foresight,40163.05,6569.44,17886.45,157221.54,92602.6,64618.94
2026-07-19,🟡 amber,real,False,foresight,74616.96,23621.54,50122.03,163002.04,14641.51,148360.53
2026-07-20,🟡 amber,real,False,foresight,38879.82,5764.8,18602.97,166910.04,103662.45,63247.59
2026-07-21,🟡 amber,real,False,foresight,34210.62,1782.76,10371.89,126028.43,79663.17,46365.27
2026-07-22,🔴 red,real,False,foresight,32470.1,1051.63,11273.61,116159.09,71363.75,44795.34
2026-07-23,🟡 amber,real,False,foresight,33156.23,2171.65,11077.77,139492.71,93087.07,46405.64
2026-07-24,🟡 amber,real,False,foresight,51315.14,9255.91,14147.05,162793.3,88075.2,74718.09
2026-07-25,🟢 green,real,False,foresight,85915.1,27822.93,47948.41,156098.54,-5587.91,161686.44
2026-07-26,🟢 green,real,False,foresight,85851.83,30112.1,49644.23,149779.53,-15828.64,165608.16
2026-07-27,🟡 amber,real,False,foresight,57175.96,15124.06,22335.69,165081.49,70445.78,94635.71
2026-07-28,🟡 amber,real,False,foresight,65978.29,17258.03,30782.7,174017.12,59998.1,114019.02
2026-07-29,🟡 amber,real,False,foresight,36074.56,3657.99,9058.22,110648.65,61857.88,48790.77
2026-07-30,🟡 amber,real,False,foresight,32890.9,1677.57,3099.93,88250.33,50581.94,37668.39
2026-07-31,🔴 red,real,False,foresight,31458.95,1448.9,9194.69,121452.27,79349.73,42102.54
2026-08-01,🟡 amber,real,False,foresight,58936.61,12926.38,28668.48,168343.53,67812.07,100531.46
2026-08-02,🟡 amber,real,False,foresight,32944.97,1797.03,12220.87,112675.36,65712.48,46962.88
2026-08-03,🟡 amber,real,False,foresight,35383.33,3394.79,11255.08,139737.79,89704.59,50033.2
2026-08-04,🟡 amber,real,False,foresight,33287.79,2903.56,6549.25,114867.53,72126.93,42740.6
2026-08-05,🟡 amber,real,False,foresight,67465.1,17827.79,38463.81,147828.94,24072.24,123756.7
2026-08-06,🟡 amber,real,False,foresight,44183.27,7574.07,30323.7,176291.55,94210.52,82081.03
2026-08-07,🟡 amber,real,False,foresight,50593.43,10191.91,21107.23,160823.47,78930.91,81892.56
2026-08-08,🟢 green,real,False,foresight,84235.78,27373.52,45718.69,162856.93,5528.94,157327.99
2026-08-09,🟡 amber,real,False,foresight,71512.2,20018.87,34332.4,165049.66,39186.19,125863.47
2026-08-10,🟡 amber,real,False,foresight,44410.64,8007.82,31914.6,197454.56,113121.5,84333.06
2026-08-11,🟡 amber,real,False,foresight,50195.47,8184.39,20359.4,171559.12,92819.85,78739.27
2026-08-12,🟡 amber,real,False,foresight,41508.34,5498.11,13002.84,121385.0,61375.71,60009.3
2026-08-13,🟡 amber,real,False,foresight,47236.82,7809.5,29331.21,192962.09,108584.57,84377.53
2026-08-14,🟡 amber,real,False,foresight,46538.86,7068.98,19967.76,191361.81,117786.22,73575.6
2026-08-15,🔴 red,real,False,foresight,35311.15,1640.33,9615.66,126067.56,79500.43,46567.13
2026-08-16,🟡 amber,real,False,foresight,44188.65,5173.57,16740.15,169781.04,103678.66,66102.37
2026-08-17,🟡 amber,real,False,foresight,39669.58,1060.88,17160.9,159180.32,101288.96,57891.36
2026-08-18,🟡 amber,real,False,foresight,43755.98,5088.65,9395.54,164467.78,106227.6,58240.18
2026-08-19,🔴 red,real,False,foresight,36906.04,653.2,11595.17,134488.7,85334.29,49154.41
2026-08-20,🔴 red,real,False,foresight,33184.64,548.82,6992.13,81671.16,40945.58,40725.58
2026-08-21,🔴 red,real,False,foresight,32432.39,978.14,7507.15,93034.31,52116.63,40917.68
2026-08-22,🟡 amber,real,False,foresight,72565.86,21265.53,38200.32,155458.19,23426.49,132031.7
2026-08-23,🟡 amber,real,False,foresight,69513.08,18597.22,46452.8,181746.27,47183.18,134563.1
2026-08-24,🟡 amber,real,False,foresight,38608.36,3139.4,13689.81,136938.18,81500.62,55437.57
2026-08-25,🟡 amber,real,False,foresight,44700.16,6365.33,20568.75,193361.32,121727.08,71634.24
2026-08-26,🟡 amber,real,False,foresight,41111.46,3712.6,19974.43,174945.4,110146.91,64798.49
2026-08-27,🟡 amber,real,False,foresight,50850.81,7397.77,26764.39,170664.91,85651.93,85012.98
2026-08-28,🟡 amber,real,False,foresight,34599.97,994.59,13385.02,127069.27,78089.68,48979.59
2026-08-29,🟡 amber,real,False,foresight,43775.05,10092.08,28768.42,178369.63,95734.08,82635.55
2026-08-30,🔴 red,real,False,foresight,34795.14,408.51,5163.9,91200.87,50833.33,40367.55
2026-08-31,🟡 amber,real,False,foresight,56258.55,10444.14,16687.11,182108.2,98718.4,83389.8
2026-09-01,🟡 amber,real,False,foresight,74813.4,19562.52,42961.49,225905.54,88568.14,137337.4
2026-09-02,🟡 amber,real,False,foresight,39482.1,868.81,15507.53,134411.42,78552.98,55858.44
2026-09-03,🟡 amber,real,False,foresight,79470.7,20453.87,47774.8,218322.1,70622.73,147699.37
2026-09-04,🟢 green,real,False,foresight,61839.03,13056.93,18999.66,118132.6,24236.99,93895.61
2026-09-05,🟢 green,real,False,foresight,86330.11,40204.03,73138.39,186356.11,-13316.42,199672.53
2026-09-06,🟢 green,real,False,foresight,106980.62,37545.96,61013.81,204309.1,-1231.29,205540.39
2026-09-07,🟡 amber,real,False,foresight,47748.63,6873.25,32597.99,195514.37,108294.49,87219.87
2026-09-08,🟡 amber,real,False,foresight,40643.06,3094.92,15322.94,157181.1,98120.18,59060.92
2026-09-09,🟡 amber,real,False,foresight,53077.4,9438.45,31427.83,196898.14,102954.46,93943.67
2026-09-10,🟡 amber,real,False,foresight,59692.17,10463.12,36700.05,211883.97,105028.63,106855.34
2026-09-11,🟡 amber,real,False,foresight,42905.29,2944.63,14252.41,178012.41,117910.09,60102.33
2026-09-12,🟢 green,real,False,foresight,114296.68,37651.53,61544.19,224817.44,11325.06,213492.39
2026-09-13,🟡 amber,real,False,foresight,50951.35,3516.11,14461.26,201260.43,132331.71,68928.72
2026-09-14,🟡 amber,real,False,foresight,46341.67,2962.46,20161.22,205507.54,136042.18,69465.36
2026-09-15,🟡 amber,reg_demand,False,foresight,53205.29,15119.19,39021.98,228318.46,120972.0,107346.46
2026-09-16,🟡 amber,reg_demand,True,foresight,42378.24,5420.91,27750.42,180582.96,105033.39,75549.58
2026-09-17,🟢 green,reg_demand,True,foresight,77003.52,21761.13,41714.99,173546.49,33066.85,140479.64
2026-09-18,🟢 green,reg_demand,True,foresight,43807.79,9931.15,17460.06,99478.31,28279.31,71199.0
2026-09-19,🟢 green,reg_demand,True,foresight,31390.87,15613.32,23857.52,71500.58,638.86,70861.71
2026-09-20,🟢 green,reg_demand,True,foresight,70015.03,36781.2,63561.9,163442.99,-6915.14,170358.13
2026-09-21,🟡 amber,reg_demand,True,real_da,39898.53,3973.63,2677.95,196521.92,149971.81,46550.11
2026-09-22,🟡 amber,reg_demand,True,real_da,45488.42,8202.49,18749.38,179001.25,106560.96,72440.29
2026-09-23,🟡 amber,reg_demand,True,real_da,32550.98,3900.15,-3286.01,154385.93,121220.81,33165.12
