settlement_period,price,asset,action,power_mw,soc,reserved_capacity_pct,market_price,revenue,cost,net_pnl
23,-15.8,Battery_4,charge,14.0,81.5,30.0,-15.8,0.0,-110.60000000000001,110.60000000000001
23,-15.8,Battery_5,charge,28.0,81.5,30.0,-15.8,0.0,-221.20000000000002,221.20000000000002
24,-16.49,Battery_1,charge,0.97,87.8,50.0,-16.49,0.0,-7.997649999999999,7.997649999999999
24,-16.49,Battery_2,charge,13.22,87.5,30.0,-16.49,0.0,-108.99889999999999,108.99889999999999
24,-16.49,Battery_3,charge,26.44,87.5,30.0,-16.49,0.0,-217.99779999999998,217.99779999999998
24,-16.49,Battery_4,charge,10.58,87.4,30.0,-16.49,0.0,-87.23209999999999,87.23209999999999
24,-16.49,Battery_5,charge,21.16,87.4,30.0,-16.49,0.0,-174.46419999999998,174.46419999999998
25,-14.81,Battery_1,charge,0.49,88.9,50.0,-14.81,0.0,-3.62845,3.62845
25,-14.81,Battery_2,charge,3.97,89.2,30.0,-14.81,0.0,-29.397850000000002,29.397850000000002
25,-14.81,Battery_3,charge,7.93,89.2,30.0,-14.81,0.0,-58.72165,58.72165
25,-14.81,Battery_4,charge,3.17,89.2,30.0,-14.81,0.0,-23.47385,23.47385
25,-14.81,Battery_5,charge,6.35,89.2,30.0,-14.81,0.0,-47.02175,47.02175
26,-16.0,Battery_1,charge,0.24,89.5,50.0,-16.0,0.0,-1.92,1.92
26,-16.0,Battery_2,charge,1.19,89.8,30.0,-16.0,0.0,-9.52,9.52
26,-16.0,Battery_3,charge,2.38,89.8,30.0,-16.0,0.0,-19.04,19.04
26,-16.0,Battery_4,charge,0.95,89.8,30.0,-16.0,0.0,-7.6,7.6
26,-16.0,Battery_5,charge,1.9,89.8,30.0,-16.0,0.0,-15.2,15.2
27,-14.15,Battery_1,charge,0.12,89.7,50.0,-14.15,0.0,-0.849,0.849
27,-14.15,Battery_2,charge,0.36,89.9,30.0,-14.15,0.0,-2.547,2.547
27,-14.15,Battery_3,charge,0.71,89.9,30.0,-14.15,0.0,-5.02325,5.02325
27,-14.15,Battery_4,charge,0.29,89.9,30.0,-14.15,0.0,-2.0517499999999997,2.0517499999999997
27,-14.15,Battery_5,charge,0.57,89.9,30.0,-14.15,0.0,-4.03275,4.03275
28,-15.36,Battery_1,charge,0.06,89.9,50.0,-15.36,0.0,-0.4608,0.4608
28,-15.36,Battery_2,charge,0.11,90.0,30.0,-15.36,0.0,-0.8448,0.8448
28,-15.36,Battery_3,charge,0.21,90.0,30.0,-15.36,0.0,-1.6127999999999998,1.6127999999999998
28,-15.36,Battery_4,charge,0.09,90.0,30.0,-15.36,0.0,-0.6911999999999999,0.6911999999999999
28,-15.36,Battery_5,charge,0.17,90.0,30.0,-15.36,0.0,-1.3056,1.3056
29,-11.43,Battery_1,charge,0.03,89.9,50.0,-11.43,0.0,-0.17145,0.17145
29,-11.43,Battery_2,charge,0.03,90.0,30.0,-11.43,0.0,-0.17145,0.17145
29,-11.43,Battery_3,charge,0.06,90.0,30.0,-11.43,0.0,-0.3429,0.3429
29,-11.43,Battery_4,charge,0.03,90.0,30.0,-11.43,0.0,-0.17145,0.17145
29,-11.43,Battery_5,charge,0.05,90.0,30.0,-11.43,0.0,-0.28575,0.28575
30,-3.86,Battery_1,hold,0.0,89.9,50.0,-3.86,0.0,0.0,0.0
30,-3.86,Battery_2,hold,0.0,90.0,30.0,-3.86,0.0,0.0,0.0
30,-3.86,Battery_3,hold,0.0,90.0,30.0,-3.86,0.0,0.0,0.0
30,-3.86,Battery_4,hold,0.0,90.0,30.0,-3.86,0.0,0.0,0.0
30,-3.86,Battery_5,hold,0.0,90.0,30.0,-3.86,0.0,0.0,0.0
31,6.63,Battery_1,hold,0.0,89.9,50.0,6.63,0.0,0.0,0.0
31,6.63,Battery_2,hold,0.0,90.0,30.0,6.63,0.0,0.0,0.0
31,6.63,Battery_3,hold,0.0,90.0,30.0,6.63,0.0,0.0,0.0
31,6.63,Battery_4,hold,0.0,90.0,30.0,6.63,0.0,0.0,0.0
31,6.63,Battery_5,hold,0.0,90.0,30.0,6.63,0.0,0.0,0.0
32,6.05,Battery_1,hold,0.0,89.9,50.0,6.05,0.0,0.0,0.0
32,6.05,Battery_2,hold,0.0,90.0,30.0,6.05,0.0,0.0,0.0
32,6.05,Battery_3,hold,0.0,90.0,30.0,6.05,0.0,0.0,0.0
32,6.05,Battery_4,hold,0.0,90.0,30.0,6.05,0.0,0.0,0.0
32,6.05,Battery_5,hold,0.0,90.0,30.0,6.05,0.0,0.0,0.0
33,13.56,Battery_1,hold,0.0,89.9,50.0,13.56,0.0,0.0,0.0
33,13.56,Battery_2,hold,0.0,90.0,30.0,13.56,0.0,0.0,0.0
33,13.56,Battery_3,hold,0.0,90.0,30.0,13.56,0.0,0.0,0.0
33,13.56,Battery_4,hold,0.0,90.0,30.0,13.56,0.0,0.0,0.0
33,13.56,Battery_5,hold,0.0,90.0,30.0,13.56,0.0,0.0,0.0
34,16.48,Battery_1,discharge,5.0,76.0,50.0,16.48,41.2,0.0,41.2
34,16.48,Battery_2,discharge,17.5,80.3,30.0,16.48,144.20000000000002,0.0,144.20000000000002
34,16.48,Battery_3,discharge,35.0,80.3,30.0,16.48,288.40000000000003,0.0,288.40000000000003
34,16.48,Battery_4,discharge,14.0,80.3,30.0,16.48,115.36,0.0,115.36
34,16.48,Battery_5,discharge,28.0,80.3,30.0,16.48,230.72,0.0,230.72
35,9.55,Battery_1,hold,0.0,76.0,50.0,9.55,0.0,0.0,0.0
35,9.55,Battery_2,hold,0.0,80.3,30.0,9.55,0.0,0.0,0.0
35,9.55,Battery_3,hold,0.0,80.3,30.0,9.55,0.0,0.0,0.0
35,9.55,Battery_4,hold,0.0,80.3,30.0,9.55,0.0,0.0,0.0
35,9.55,Battery_5,hold,0.0,80.3,30.0,9.55,0.0,0.0,0.0
36,17.72,Battery_1,discharge,5.0,62.2,50.0,17.72,44.3,0.0,44.3
36,17.72,Battery_2,discharge,17.5,70.5,30.0,17.72,155.04999999999998,0.0,155.04999999999998
36,17.72,Battery_3,discharge,35.0,70.5,30.0,17.72,310.09999999999997,0.0,310.09999999999997
36,17.72,Battery_4,discharge,14.0,70.5,30.0,17.72,124.03999999999999,0.0,124.03999999999999
36,17.72,Battery_5,discharge,28.0,70.5,30.0,17.72,248.07999999999998,0.0,248.07999999999998
37,18.2,Battery_1,discharge,5.0,48.3,50.0,18.2,45.5,0.0,45.5
37,18.2,Battery_2,discharge,17.5,60.8,30.0,18.2,159.25,0.0,159.25
37,18.2,Battery_3,discharge,35.0,60.8,30.0,18.2,318.5,0.0,318.5
37,18.2,Battery_4,discharge,14.0,60.8,30.0,18.2,127.39999999999999,0.0,127.39999999999999
37,18.2,Battery_5,discharge,28.0,60.8,30.0,18.2,254.79999999999998,0.0,254.79999999999998
38,19.47,Battery_1,discharge,5.0,34.4,50.0,19.47,48.675,0.0,48.675
38,19.47,Battery_2,discharge,17.5,51.1,30.0,19.47,170.36249999999998,0.0,170.36249999999998
38,19.47,Battery_3,discharge,35.0,51.1,30.0,19.47,340.72499999999997,0.0,340.72499999999997
38,19.47,Battery_4,discharge,14.0,51.1,30.0,19.47,136.29,0.0,136.29
38,19.47,Battery_5,discharge,28.0,51.1,30.0,19.47,272.58,0.0,272.58
39,29.55,Battery_1,discharge,4.39,22.2,50.0,29.55,64.86225,0.0,64.86225
39,29.55,Battery_2,discharge,17.5,41.4,30.0,29.55,258.5625,0.0,258.5625
39,29.55,Battery_3,discharge,35.0,41.4,30.0,29.55,517.125,0.0,517.125
39,29.55,Battery_4,discharge,14.0,41.4,30.0,29.55,206.85,0.0,206.85
39,29.55,Battery_5,discharge,28.0,41.4,30.0,29.55,413.7,0.0,413.7
40,30.66,Battery_1,discharge,2.19,16.1,50.0,30.66,33.5727,0.0,33.5727
40,30.66,Battery_2,discharge,17.5,31.7,30.0,30.66,268.275,0.0,268.275
40,30.66,Battery_3,discharge,35.0,31.7,30.0,30.66,536.55,0.0,536.55
40,30.66,Battery_4,discharge,14.0,31.7,30.0,30.66,214.62,0.0,214.62
40,30.66,Battery_5,discharge,28.0,31.7,30.0,30.66,429.24,0.0,429.24
41,35.56,Battery_1,discharge,1.1,13.0,50.0,35.56,19.558000000000003,0.0,19.558000000000003
41,35.56,Battery_2,discharge,17.5,21.9,30.0,35.56,311.15000000000003,0.0,311.15000000000003
41,35.56,Battery_3,discharge,35.0,21.9,30.0,35.56,622.3000000000001,0.0,622.3000000000001
41,35.56,Battery_4,discharge,14.0,21.9,30.0,35.56,248.92000000000002,0.0,248.92000000000002
41,35.56,Battery_5,discharge,28.0,21.9,30.0,35.56,497.84000000000003,0.0,497.84000000000003
42,29.79,Battery_1,discharge,0.55,11.5,50.0,29.79,8.19225,0.0,8.19225
42,29.79,Battery_2,discharge,15.04,13.6,30.0,29.79,224.02079999999998,0.0,224.02079999999998
42,29.79,Battery_3,discharge,30.08,13.6,30.0,29.79,448.04159999999996,0.0,448.04159999999996
42,29.79,Battery_4,discharge,12.03,13.6,30.0,29.79,179.18685,0.0,179.18685
42,29.79,Battery_5,discharge,24.07,13.6,30.0,29.79,358.52265,0.0,358.52265
43,30.96,Battery_1,discharge,0.27,10.8,50.0,30.96,4.179600000000001,0.0,4.179600000000001
43,30.96,Battery_2,discharge,4.51,11.1,30.0,30.96,69.8148,0.0,69.8148
43,30.96,Battery_3,discharge,9.03,11.1,30.0,30.96,139.7844,0.0,139.7844
43,30.96,Battery_4,discharge,3.61,11.1,30.0,30.96,55.8828,0.0,55.8828
43,30.96,Battery_5,discharge,7.22,11.1,30.0,30.96,111.7656,0.0,111.7656
44,16.3,Battery_1,hold,0.0,10.8,50.0,16.3,0.0,0.0,0.0
44,16.3,Battery_2,hold,0.0,11.1,30.0,16.3,0.0,0.0,0.0
44,16.3,Battery_3,hold,0.0,11.1,30.0,16.3,0.0,0.0,0.0
44,16.3,Battery_4,hold,0.0,11.1,30.0,16.3,0.0,0.0,0.0
44,16.3,Battery_5,hold,0.0,11.1,30.0,16.3,0.0,0.0,0.0
45,19.68,Battery_1,discharge,0.14,10.4,50.0,19.68,1.3776000000000002,0.0,1.3776000000000002
45,19.68,Battery_2,discharge,1.35,10.3,30.0,19.68,13.284,0.0,13.284
45,19.68,Battery_3,discharge,2.71,10.3,30.0,19.68,26.6664,0.0,26.6664
45,19.68,Battery_4,discharge,1.08,10.3,30.0,19.68,10.6272,0.0,10.6272
45,19.68,Battery_5,discharge,2.17,10.3,30.0,19.68,21.3528,0.0,21.3528
46,10.26,Battery_1,hold,0.0,10.4,50.0,10.26,0.0,0.0,0.0
46,10.26,Battery_2,hold,0.0,10.3,30.0,10.26,0.0,0.0,0.0
46,10.26,Battery_3,hold,0.0,10.3,30.0,10.26,0.0,0.0,0.0
46,10.26,Battery_4,hold,0.0,10.3,30.0,10.26,0.0,0.0,0.0
46,10.26,Battery_5,hold,0.0,10.3,30.0,10.26,0.0,0.0,0.0
47,9.57,Battery_1,hold,0.0,10.4,50.0,9.57,0.0,0.0,0.0
47,9.57,Battery_2,hold,0.0,10.3,30.0,9.57,0.0,0.0,0.0
47,9.57,Battery_3,hold,0.0,10.3,30.0,9.57,0.0,0.0,0.0
47,9.57,Battery_4,hold,0.0,10.3,30.0,9.57,0.0,0.0,0.0
47,9.57,Battery_5,hold,0.0,10.3,30.0,9.57,0.0,0.0,0.0
48,14.23,Battery_1,hold,0.0,10.4,50.0,14.23,0.0,0.0,0.0
48,14.23,Battery_2,hold,0.0,10.3,30.0,14.23,0.0,0.0,0.0
48,14.23,Battery_3,hold,0.0,10.3,30.0,14.23,0.0,0.0,0.0
48,14.23,Battery_4,hold,0.0,10.3,30.0,14.23,0.0,0.0,0.0
48,14.23,Battery_5,hold,0.0,10.3,30.0,14.23,0.0,0.0,0.0
