date,day_type,da_net,id_net,bm_net,total_revenue,total_cost,net_pnl
2026-07-16,🟡 amber,47916.09,9384.21,17801.6,176814.22,101712.32,75101.9
2026-07-17,🟡 amber,34722.01,3124.75,13998.76,133953.9,82108.37,51845.52
2026-07-18,🟡 amber,40461.26,6569.44,17886.45,157519.75,92602.6,64917.15
2026-07-19,🟡 amber,74623.4,23621.54,50122.03,163008.47,14641.51,148366.96
2026-07-20,🟡 amber,39497.14,5764.8,18602.97,167535.08,103670.17,63864.91
2026-07-21,🟡 amber,34210.62,1847.63,10371.89,127691.32,81261.18,46430.14
2026-07-22,🔴 red,32470.1,1063.18,11273.61,116159.09,71352.2,44806.89
2026-07-23,🟡 amber,33157.87,2171.65,11077.77,139494.35,93087.07,46407.29
2026-07-24,🟡 amber,51479.03,9262.03,14147.05,162957.19,88069.08,74888.12
2026-07-25,🟢 green,85254.1,27822.93,47948.41,155437.54,-5587.91,161025.45
2026-07-26,🟢 green,84147.95,30523.5,49644.23,151063.32,-13252.36,164315.69
2026-07-27,🟡 amber,58933.35,14225.24,22335.69,170955.02,75460.75,95494.28
2026-07-28,🟡 amber,65464.73,17258.03,30782.7,173503.56,59998.1,113505.46
2026-07-30,🟡 amber,32890.9,1657.02,3099.93,88250.33,50602.49,37647.84
2026-07-31,🔴 red,31462.31,1448.9,9194.69,121475.39,79369.49,42105.9
2026-08-01,🟡 amber,59194.68,12926.38,28668.48,168601.61,67812.07,100789.54
2026-08-02,🟡 amber,32771.29,1905.22,12220.87,114678.78,67781.4,46897.38
2026-08-03,🟡 amber,35383.33,3347.78,11255.08,138030.73,88044.54,49986.19
2026-08-04,🟡 amber,33262.25,2903.56,6549.25,117098.18,74383.12,42715.06
2026-08-05,🟡 amber,66856.68,17827.79,38463.81,147220.53,24072.24,123148.28
2026-08-06,🟡 amber,44360.85,7574.07,30323.7,179817.53,97558.92,82258.61
2026-08-07,🟡 amber,50492.0,10191.91,21107.23,160722.04,78930.91,81791.13
2026-08-08,🟢 green,84488.64,27373.52,45718.69,163109.8,5528.94,157580.85
2026-08-09,🟡 amber,71512.2,20059.91,34332.4,165807.02,39902.51,125904.51
2026-08-10,🟡 amber,45081.52,7926.5,31914.6,202166.12,117243.5,84922.62
2026-08-11,🟡 amber,50195.47,8257.2,20359.4,172012.07,93200.0,78812.07
2026-08-12,🟡 amber,41508.34,5531.38,13002.84,121385.0,61342.44,60042.56
2026-08-13,🟡 amber,47236.82,7688.8,29331.21,192635.66,108378.84,84256.82
2026-08-14,🟡 amber,46538.86,7068.98,19967.76,191361.81,117786.22,73575.6
2026-08-15,🔴 red,35311.15,1640.33,9615.66,126067.56,79500.43,46567.13
2026-08-16,🟡 amber,44726.34,5173.57,16740.15,181468.09,114828.03,66640.06
2026-08-17,🟡 amber,40489.72,1674.25,17160.9,169600.22,110275.35,59324.87
2026-08-18,🟡 amber,43554.37,4842.62,9395.54,164412.69,106620.16,57792.53
2026-08-19,🔴 red,36907.78,851.78,11595.17,138399.45,89044.72,49354.73
2026-08-20,🔴 red,33184.64,554.35,6992.13,83690.89,42959.78,40731.11
2026-08-21,🔴 red,32614.16,1280.85,7507.15,103196.63,61794.48,41402.15
2026-08-22,🟡 amber,73314.36,21265.53,38200.32,156206.69,23426.49,132780.21
2026-08-23,🟡 amber,70113.49,18597.22,46452.8,182346.68,47183.18,135163.5
2026-08-24,🟡 amber,38650.92,3380.5,13689.81,143684.32,87963.1,55721.23
2026-08-25,🟡 amber,44700.16,6294.98,20568.75,193361.32,121797.43,71563.89
2026-08-26,🟡 amber,41661.1,3943.6,19974.43,175210.13,109630.99,65579.14
2026-08-27,🟡 amber,50611.69,6635.17,26764.39,170664.91,86653.65,84011.25
2026-08-28,🟡 amber,36339.96,2029.53,13385.02,138008.13,86253.62,51754.51
2026-08-29,🟡 amber,47445.95,9408.18,28768.42,183422.19,97799.64,85622.55
2026-08-30,🔴 red,34795.14,472.31,5163.9,91328.33,50896.98,40431.34
2026-08-31,🟡 amber,56258.55,10444.14,16687.11,182108.2,98718.4,83389.8
2026-09-01,🟡 amber,76366.33,19562.52,42961.49,227755.16,88864.82,138890.34
2026-09-02,🟡 amber,39656.64,1284.78,15507.53,146335.52,89886.58,56448.94
2026-09-03,🟡 amber,79647.94,20453.87,47774.8,218499.34,70622.73,147876.61
2026-09-04,🟢 green,67182.1,15969.67,18999.66,129006.5,26855.07,102151.43
2026-09-05,🟢 green,94823.6,40204.03,73138.39,194849.6,-13316.42,208166.01
2026-09-06,🟢 green,106154.68,37545.96,61013.81,203483.16,-1231.29,204714.45
2026-09-07,🟡 amber,47748.63,6927.1,32597.99,195514.37,108240.64,87273.72
2026-09-08,🟡 amber,42202.1,3763.19,15322.94,163355.69,102067.47,61288.23
2026-09-09,🟡 amber,54163.09,8224.25,31427.83,204640.85,110825.69,93815.16
2026-09-10,🟡 amber,59692.17,10545.53,36700.05,214064.89,107127.13,106937.76
2026-09-11,🟡 amber,53259.33,7370.88,14252.41,178292.34,103409.72,74882.62
2026-09-12,🟢 green,106320.33,33118.52,61544.19,212363.3,11380.26,200983.04
2026-09-13,🟡 amber,50951.35,3516.11,14461.26,201260.43,132331.71,68928.72
